,name,street_type
0,Kungälvsleden,leden
2,Boråsleden,leden
3,Gråbovägen,vägen
4,Hjällbovägen,vägen
5,Alingsåsleden,leden
6,Kungsbackaleden,leden
7,Stora Nygatan,gatan
8,Östra Larmgatan,gatan
9,Östra Hamngatan,gatan
10,Lilla Nygatan,gatan
11,Slussgatan,gatan
12,Nya Allén,other
13,Norra Allégatan,gatan
14,Parkgatan,gatan
15,Trädgårdsgatan,gatan
16,Bastionsplatsen,other
17,Lilla Kungsgatan,gatan
18,Grönsakstorget,torget
19,Södra Larmgatan,gatan
20,Kungstorget,torget
21,Lilla Kyrkogatan,gatan
22,Korsgatan,gatan
23,Drottninggatan,gatan
24,Vallgatan,gatan
25,Järnbrottsmotet,motet
26,Marconimotet,motet
27,Söderleden,leden
28,Västerleden,leden
29,Skattegårdsvägen,vägen
30,Briljantgatan,gatan
31,Turkosgatan,gatan
32,Diamantgatan,gatan
33,Näsetvägen,vägen
34,Dag Hammarskjöldsleden,leden
35,Fältspatsgatan,gatan
36,Tunnlandsgatan,gatan
37,Högsboleden,leden
38,Gnistängstunneln,other
39,Kaserntorget,torget
40,Rosenlundsplatsen,other
41,Rosenlundsgatan,gatan
42,Sahlgrensgatan,gatan
43,Ekelundsgatan,gatan
44,Magasinsgatan,gatan
45,Kyrkogatan,gatan
46,Västra Hamngatan,gatan
47,Packhusplatsen,other
48,Smedjegatan,gatan
49,Kronhusgatan,gatan
50,Postgatan,gatan
51,Sten Sturegatan,gatan
52,Engelbrektsgatan,gatan
53,Skånegatan,gatan
54,Artillerigatan,gatan
55,Gamlestadsvägen,vägen
56,Mölndalsvägen,vägen
57,Kortedalavägen,vägen
58,Almanacksvägen,vägen
59,Gärdsåsmotet,motet
60,Stora Björn,other
61,Bergsjövägen,vägen
62,Kungshöjdsgatan,gatan
63,Arsenalsgatan,gatan
64,Hvitfeldtsgatan,gatan
65,Luntantugatan,gatan
66,Artilleristen Gladers Trappor,other
67,Läroverksgatan,gatan
68,Arkitektgatan,gatan
69,Lilla Korsgatan,gatan
70,Otterhällegatan,gatan
71,Skräddaregatan,gatan
72,Per Nyströms Trappa,other
73,Norra Liden,other
74,Teatergatan,gatan
75,Chalmersgatan,gatan
76,Viktor Rydbergsgatan,gatan
77,Geijersgatan,gatan
78,Arkivgatan,gatan
79,Kristinelundsgatan,gatan
80,Vasagatan,gatan
81,Lilla Grevegårdsvägen,vägen
82,Olof Asklunds Gata,gatan
83,Gruvgatan,gatan
84,J A Wettergrens gata,gatan
85,Marconigatan,gatan
86,Slottsskogsgatan,gatan
87,Margretebergsgatan,gatan
88,Carl Skottsbergs gata,gatan
89,Prickskyttestigen,other
90,Radiovägen,vägen
91,Victor Hasselblads Gata,gatan
92,Axel Adlers Gata,gatan
93,Antenngatan,gatan
94,A Odhners gata,gatan
95,Näverlursgatan,gatan
96,Lergöksgatan,gatan
97,Hisingsleden,leden
98,Hjalmar Brantingsgatan,gatan
99,Yrvädersgatan,gatan
100,Guldhedsgatan,gatan
101,Björlandavägen,vägen
102,Kongahällavägen,vägen
103,Per Dubbsgatan,gatan
104,Älvsborgsgatan,gatan
105,Örgrytevägen,vägen
106,Åkeredsvägen,vägen
107,Önneredsvägen,vägen
108,Mandolingatan,gatan
109,Musikvägen,vägen
110,Ståthållaregatan,gatan
111,Läraregatan,gatan
112,Eklandagatan,gatan
113,Fabriksgatan,gatan
114,Rävebergsvägen,vägen
115,Dysiksgatan,gatan
116,Oljevägen,vägen
117,Bräckevägen,vägen
118,Regnbågsgatan,gatan
119,Karlavagnsgatan,gatan
120,Lundby Hamngata,gatan
121,Lindholmspiren,other
122,Lindholmsallén,other
123,Götaverksgatan,gatan
124,Lars Kaggsgatan,gatan
125,Regementsvägen,vägen
126,Ånäsvägen,vägen
127,Anders Carlssons Gata,gatan
128,Theres Svenssons Gata,gatan
129,Wieselgrensplatsen,other
130,Tuvevägen,vägen
131,Lundbytunneln,other
132,Gustaf Melins gata,gatan
133,Säröleden,leden
134,Markmyntsgatan,gatan
135,Sankt Sigfridsgatan,gatan
136,Götatunneln,other
137,Stora Åvägen,vägen
