,street_names
0,Kungälvsleden
1,
2,Boråsleden
3,Gråbovägen
4,Hjällbovägen
5,Alingsåsleden
6,Kungsbackaleden
7,Stora Nygatan
8,Östra Larmgatan
9,Östra Hamngatan
10,Lilla Nygatan
11,Slussgatan
12,Nya Allén
13,Norra Allégatan
14,Parkgatan
15,Trädgårdsgatan
16,Bastionsplatsen
17,Lilla Kungsgatan
18,Grönsakstorget
19,Södra Larmgatan
20,Kungstorget
21,Lilla Kyrkogatan
22,Korsgatan
23,Drottninggatan
24,Vallgatan
25,Järnbrottsmotet
26,Marconimotet
27,Söderleden
28,Västerleden
29,Skattegårdsvägen
30,Briljantgatan
31,Turkosgatan
32,Diamantgatan
33,Näsetvägen
34,Dag Hammarskjöldsleden
35,Fältspatsgatan
36,Tunnlandsgatan
37,Högsboleden
38,Gnistängstunneln
39,Kaserntorget
40,Rosenlundsplatsen
41,Rosenlundsgatan
42,Sahlgrensgatan
43,Ekelundsgatan
44,Magasinsgatan
45,Kyrkogatan
46,Västra Hamngatan
47,Packhusplatsen
48,Smedjegatan
49,Kronhusgatan
50,Postgatan
51,Sten Sturegatan
52,Engelbrektsgatan
53,Skånegatan
54,Artillerigatan
55,Gamlestadsvägen
56,Mölndalsvägen
57,Kortedalavägen
58,Almanacksvägen
59,Gärdsåsmotet
60,Stora Björn
61,Bergsjövägen
62,Kungshöjdsgatan
63,Arsenalsgatan
64,Hvitfeldtsgatan
65,Luntantugatan
66,Artilleristen Gladers Trappor
67,Läroverksgatan
68,Arkitektgatan
69,Lilla Korsgatan
70,Otterhällegatan
71,Skräddaregatan
72,Per Nyströms Trappa
73,Norra Liden
74,Teatergatan
75,Chalmersgatan
76,Viktor Rydbergsgatan
77,Geijersgatan
78,Arkivgatan
79,Kristinelundsgatan
80,Vasagatan
81,Lilla Grevegårdsvägen
82,Olof Asklunds Gata
83,Gruvgatan
84,J A Wettergrens gata
85,Marconigatan
86,Slottsskogsgatan
87,Margretebergsgatan
88,Carl Skottsbergs gata
89,Prickskyttestigen
90,Radiovägen
91,Victor Hasselblads Gata
92,Axel Adlers Gata
93,Antenngatan
94,A Odhners gata
95,Näverlursgatan
96,Lergöksgatan
97,Hisingsleden
98,Hjalmar Brantingsgatan
99,Yrvädersgatan
100,Guldhedsgatan
101,Björlandavägen
102,Kongahällavägen
103,Per Dubbsgatan
104,Älvsborgsgatan
105,Örgrytevägen
106,Åkeredsvägen
107,Önneredsvägen
108,Mandolingatan
109,Musikvägen
110,Ståthållaregatan
111,Läraregatan
112,Eklandagatan
113,Fabriksgatan
114,Rävebergsvägen
115,Dysiksgatan
116,Oljevägen
117,Bräckevägen
118,Regnbågsgatan
119,Karlavagnsgatan
120,Lundby Hamngata
121,Lindholmspiren
122,Lindholmsallén
123,Götaverksgatan
124,Lars Kaggsgatan
125,Regementsvägen
126,Ånäsvägen
127,Anders Carlssons Gata
128,Theres Svenssons Gata
129,Wieselgrensplatsen
130,Tuvevägen
131,Lundbytunneln
132,Gustaf Melins gata
133,Säröleden
134,Markmyntsgatan
135,Sankt Sigfridsgatan
136,Götatunneln
137,Stora Åvägen
138,Södra Långebergsgatan
139,Sisjövägen
140,Gårdstenstunneln
141,Gårdstensliden
142,Norrleden
143,Gårdstensvägen
144,Berzeliigatan
145,Änggårdens Gångbro
146,Museibacken
147,Högsbogatan
148,Kapplandsgatan
149,Norra Långebergsgatan
150,Torpamotet
151,Munkebäcks Allé
152,Mellbyleden
153,Utbyvägen
154,Ugglumsleden
155,Ljusårsvägen
156,Januarigatan
157,Munkebäcksmotet
158,Smyckegatan
159,Björkhöjdsgatan
160,Toftaåsgatan
161,Stora Fiskebäcksvägen
162,Lundbyleden
163,Marieholmsleden
164,Mårten Krakowgatan
165,Mejerigatan
166,Hälleflundregatan
167,Hinse Bro
168,Kobbegårdsvägen
169,Askims Domarringsväg
170,Tvärhandsgatan
171,Halvtumsgatan
172,Armlängdsgatan
173,Växelmyntsgatan
174,Högsbohöjdsmotet
175,Framnäsgatan
176,Gibraltargatan
177,Bildradiogatan
178,Kondensatorsgatan
179,Flygvädersgatan
180,Rymdvågsgatan
181,Sörredsvägen
182,Majstångsgatan
183,Mariagatan
184,Lilla Drottninggatan
185,Gustav Larsons Väg
186,Volvo Jakobs Väg
187,Röra Byväg
188,Gunnar Engellaus väg
189,Gamla Flygplatsvägen
190,Torslandavägen
191,Repslagaregatan
192,Eldaregatan
193,Signalgatan
194,Hjorthagsgatan
195,Kjellmansgatan
196,Jungmansgatan
197,Bergwalls trappor
198,Vattugatan
199,Övre Matrosgatan
200,Storebackegatan
201,Klamparegatan
202,Krokegatan
203,Bäckegatan
204,Älghagsgatan
205,Kompassgatan
206,August Kobbsgatan
207,Fjällgatan
208,Paradisgatan
209,Bockhornsgatan
210,Sjömansgatan
211,Sofiebergsgatan
212,Brantbacken
213,Stavstigen
214,Hallegatan
215,Brämaregatan
216,Hisingsgatan
217,Ekebergsgatan
218,Jägaregatan
219,Pallasgatan
220,Neptunusgatan
221,Rörstrandsgatan
222,Herkulesgatan
223,Tunnbindaregatan
224,Kvillegatan
225,Väderkvarnsgatan
226,Madängsgatan
227,Vågmästaregatan
228,Parmmätaregatan
229,Kvilletorget
230,Panoramavägen
231,Rambergsvägen
232,Bergavägen
233,Västra Stillestorpsgatan
234,Östra Stillestorpsgatan
235,Fjällvindsgatan
236,Inlandsgatan
237,Gamla Rambergsvägen
238,Tillgängligheten
239,Solstigen
240,Övre Hallegatan
241,Åsgatan
242,Gunnar Engellaus Väg
243,Virvelvindsgatan
244,Löjtnantsgatan
245,Lillhagsvägen
246,Blankversgatan
247,Lerbäcksvägen
248,Minelundsvägen
249,Gjutjärnsgatan
250,Ringögatan
251,Klippan
252,Fiskhamnen
253,Skärgårdsgatan
254,Taubegatan
255,Lilla gatan
256,Jaegerdorffsplatsen
257,Birgittagatan
258,Kustroddaregatan
259,Carnegiegatan
260,Svanebäcksgatan
261,Silverkällegatan
262,Tegnérsgatan
263,Första Långgatan
264,Stigbergsliden
265,Johannes Kyrkogång
266,Anna Greta Wides Trappor
267,Masthuggstorget
268,Haga Östergata
269,Tredje Långgatan
270,Pilgatan
271,Östra Skansgatan
272,Skolgatan
273,Husargatan
274,Södra Allégatan
275,Kaponjärgatan
276,Renströmsgatan
277,Johannebergsgatan
278,Olof Wijksgatan
279,Gösta Rahmns Gata
280,Kyrkstigen
281,Molinsgatan
282,Vasa Kyrkogata
283,Oscar Fredriks Kyrkogata
284,Andra Långgatan
285,Fjärde Långgatan
286,Plantagegatan
287,Universitetsplatsen
288,Norra Gatan
289,PV Gatan
290,Karl Gustavsgatan
291,Vasaplatsen
292,Thorildsgatan
293,Föreningsgatan
294,Erik Dahlbergsgatan
295,Storgatan
296,Viktoriagatan
297,Södra Viktoriagatan
298,Viktoriabron
299,Bellmansgatan
300,Haga Kyrkogata
301,Haga Kyrkoplan
302,Övre Fogelsbergsgatan
303,Västergatan
304,Frihamnsmotet
305,Frihamnen
306,Ekedalsgatan
307,Hålekärrsgatan
308,Söderlingsgatan
309,Spetsbergsgatan
310,Hjortens trappor
311,Myntgatan
312,Kungsgatan
313,Vitögatan
314,Hjuviksvägen
315,Bergspromenaden
316,Övre Majorsgatan
317,Övre Djupedalsgatan
318,Prinsgatan
319,Värmlandsgatan
320,Vegagatan
321,Bangatan
322,Kastellgatan
323,Majorsgatan
324,Risåsgatan
325,Djupedalsgatan
326,Nedre Matrosgatan
327,Konstepidemins väg
328,Brunnsgatan
329,Landsvägsgatan
330,Leijonsparres väg
331,Hamneskärsgatan
332,Vingagatan
333,Kjellestadsgatan
334,Nordenskiöldsgatan
335,Järntorget
336,Stora Dammenstigen
